assetid,event_count,title
1528886,52485,Ларго Винч: Начало
1786886,29278,Опасное задание
2125289,29109,Соник в кино
2122284,20383,Три секунды
567998,14323,Кунг-фу Панда 3
1864178,13610,Джон Уик 3
1528805,13402,Звезда
1659802,11555,Нокаут
1825217,11360,21 мост
1529192,10019,Смертный приговор
2204844,9436,Анна
1781314,9288,Мстители: Финал
1538192,9139,Холодное лето пятьдесят третьего
568152,8976,Новый Человек-паук
1811627,7806,Алита: Боевой ангел
1428937,7774,Анон
1529174,7508,Лучшие из лучших
2200683,7301,Железное небо 2
1527764,7146,Белое солнце пустыни
1833597,7095,Безумный Макс: Дорога ярости
1424468,6953,Tomb Raider: Лара Крофт
1787271,6473,Фарт
1529183,6301,Лучшие из лучших 2
2126414,6176,Бладшот
1706473,6061,Мумия
2100227,6036,Стриптизёрши
567905,5948,007: СПЕКТР
1728736,5909,Балканский рубеж
1787238,5824,С Дона выдачи нет
1547644,5652,Человек-паук: Через вселенные
1482980,5517,Кинг Конг
572086,5499,Ограбление по-американски
1328140,5433,Суперсемейка 2
1787194,5282,Белое золото
1889044,5162,Бэтмен против Супермена: На заре справедливости
2205490,5121,1917
816730,5120,Красный Дракон
2103579,5070,Плохие парни навсегда
2142711,5058,Маленькая мисс Дулиттл
2031074,4843,Гладиатор
2054236,4781,Анна
1079551,4586,Плохие парни 2
568117,4500,007: Координаты «Скайфолл»
584763,4437,Миссия «Серенити»
581285,4411,Казино Рояль
2083732,4286,Джуманджи: Новый уровень
2560107,4126,Спасатели Малибу
1881591,4072,Варкрафт
1706491,4056,Мумия возвращается
1267170,4055,Мстители: Война бесконечности
2070902,3828,Гнев
2532363,3784,Сквозь снег
2103935,3759,Поезд смерти
1516974,3721,Мара. Пожиратель снов
2200818,3684,Шугалей
1276214,3655,Голодные игры
804052,3644,Два ствола
2173606,3504,Под Сильвер-Лэйк
2162761,3394,Полтора шпиона
1276221,3350,Голодные игры: И вспыхнет пламя
1524534,3321,Такси 2
1800343,3299,Братство
1524262,3275,Такси 5
568299,3267,Бен-Гур
2238199,3267,Ритм-секция
1235611,3244,9 рота
1125200,3241,Джунгли
1704556,3201,Как приручить дракона 3
1116806,3171,Телохранитель киллера
811628,3166,Гадкий я 3
1235674,3161,Парк Юрского периода 3
1817465,3096,Человек-паук: Вдали от дома
1736462,3063,Убийца 2. Против всех
1829642,3041,Разлом Сан-Андреас
2388751,3035,Ночной беглец
1711631,3026,Валериан и город тысячи планет
1132565,2873,Тайна 7 сестер
2109959,2861,Звёздные войны: Скайуокер. Восход
2553493,2812,Рэйк
2159237,2763,Кровавый путь
300575,2748,Миньоны
1307199,2713,Операция «Шаровая молния»
1889220,2689,Расплата
1829796,2688,Кредо убийцы
2229124,2678,Банды Нью-Йорка
584651,2673,Хэнкок
2129230,2628,Могучие рейнджеры
2560026,2623,Миссия невыполнима: Последствия
2564823,2610,Сила стихии
1881525,2570,РобоКоп
1517038,2570,Мотылек
2560071,2559,Призрак в доспехах
1516834,2513,22 мили
2380550,2503,Троя
2162849,2493,Судная ночь 2
1524470,2487,Пассажир
1079558,2468,Плохие парни
582461,2405,Форсаж 8
2057052,2392,Трансформеры
2229146,2384,Турист
2560053,2325,Оверлорд
581250,2314,Квант милосердия
790396,2311,Эксперимент «Офис»
1516759,2290,Расправа
352033,2285,Легенда
344886,2278,Кровью и потом: Анаболики
2560062,2264,Особо опасен
1428969,2232,Обливион
2532330,2220,Лето 84
803801,2188,Человек-паук: Возвращение домой
1122312,2186,Джуманджи: Зов джунглей
1474407,2158,Петля времени
1276207,2129,Терминатор 2: Судный день
1122317,2124,Тор: Рагнарёк
2129219,2095,Быстрее пули
1474431,2091,Неудержимые
1636035,2091,Братья Систерс
525766,2087,Отпетые напарники
796218,2086,Глубоководный горизонт
1483036,2084,Бесславные ублюдки
1610299,2075,Бамблби
330185,2071,Мстители
1711649,2067,Дети шпионов
1095052,2049,Битва за Севастополь
1829785,2043,Фантом
2388721,2041,На гребне волны
1719691,2009,Закатать в асфальт
485023,2000,Брат 2
1524182,1994,Такси 3
2531384,1993,Дюна
1711703,1983,Дети шпионов 2: Остров несбывшихся надежд
1873297,1970,Форсаж: Хоббс и Шоу
2100205,1959,Падение ангела
1824266,1943,Терминатор 3: Восстание машин
1689815,1934,Братья Гримм
464737,1928,Операция «Ы» и другие приключения Шурика
345572,1884,Геймер
317140,1879,Черепашки-ниндзя 2
1778636,1854,Дивергент
1711622,1853,Эквилибриум
1826855,1848,Клуб анонимных киллеров
1829774,1845,Робин Гуд: Начало
2129406,1813,Сокровище Амазонки
1685697,1811,Убить Билла
1685634,1800,Убить Билла 2
1774943,1793,Так сказал Чарли
330465,1789,Мстители: Эра Альтрона
1711595,1779,Дети шпионов 3: Игра окончена
1045636,1770,Затерянный город Z
2388741,1745,Копы в глубоком запасе
1524382,1742,Люси
1419577,1723,"На Дерибасовской хорошая погода, или На Брайтон Бич опять идут дожди"
1062739,1718,Железный кулак
1497749,1718,Бабло
1706464,1715,Мумия: Гробница Императора Драконов
1801672,1715,Дракула
2532319,1707,Поезд в Пусан (расширенная версия)
2531373,1705,Охотник за головами
485016,1696,Бумер
1881723,1696,Мачо и ботан
343791,1695,3 дня на убийство
816660,1663,Побег
585737,1630,Моя девушка – монстр
1483028,1623,47 ронинов
1881558,1619,Охотники на ведьм
1474543,1618,Веном
485030,1616,Брат
2229168,1612,Убийственная команда
1824354,1609,Терминатор
336721,1604,"Петровка, 38"
1775809,1594,Экипаж
2380959,1572,Старик с пистолетом
795322,1559,Полиция Майами: Отдел нравов
330241,1539,Суперсемейка
1304683,1538,Мир юрского периода 2
1538690,1532,Училка
2564841,1530,Дурная слава
330150,1530,Первый мститель: Противостояние
2566637,1505,Шугалей 2
2559927,1495,13 часов: Тайные солдаты Бенгази
1468227,1490,Призрачный патруль
2044581,1488,Зов волка
567716,1460,Голодные игры: Сойка-пересмешница. Часть I
2129186,1460,Каратель
2057074,1449,Трансформеры 3: Тёмная сторона Луны
1238021,1448,Парк Юрского периода 2: Затерянный мир
1685643,1442,Механик
2057085,1429,Трансформеры: Месть падших
571451,1422,Человек-паук 3: Враг в отражении
568131,1420,"Умри, но не сейчас"
1133138,1419,Кот в сапогах
1881646,1417,Мачо и ботан 2
344774,1412,Закон доблести
781854,1410,Стражи Галактики. Часть 2
2531450,1410,Национальная безопасность
1889176,1406,Большие мамочки: Сын как отец
2568860,1404,10 минут спустя
1524542,1393,Боги Египта
327740,1391,Форсаж 7
2046222,1383,Гемини
1829631,1383,Телепорт
2031415,1380,Белоснежка и охотник
1825305,1380,Рэмбо: Последняя кровь 
2038407,1373,Добро пожаловать в Zомбилэнд 2
330171,1350,Стражи Галактики
348624,1344,Гнев
1801771,1340,Терминатор 2: Судный день
1616096,1338,Меркурий в опасности
2371365,1326,Надежда
1736704,1319,Поцелуй дракона
1157197,1307,Чёрная пантера
2375472,1293,Старые счёты
2559936,1277,Бегущий человек
2057063,1276,Трансформеры: Эпоха истребления
1647632,1275,Годзилла
1697356,1275,Хроники хищных городов
1647515,1265,S.W.A.T.: Спецназ города ангелов
581278,1264,Золотой глаз
2065273,1254,Зорро
330423,1241,Пираты Карибского Моря: Проклятие Черной Жемчужины
1666089,1240,Хеллбой
356114,1237,Викинг 2
2204363,1235,Убийство Николь Браун Симпсон
1468203,1226,Во имя короля: История осады подземелья
1133811,1205,Семейка Крудс
1153361,1199,Ветреная река
1482940,1197,Ю-571
1261820,1195,Тихоокеанский рубеж 2
581292,1192,Голдфингер
1736572,1190,Хроники хищных городов
346118,1190,Бриллиантовая рука
1331647,1188,Великий уравнитель 2
2031338,1188,Смертельное оружие
1836633,1181,Черный ястреб
2044053,1180,Сарай
1778680,1180,"Дивергент, глава 3: За стеной"
581341,1176,Шаровая молния
485009,1176,Бумер: Фильм второй
2204932,1174,Стелс
1730986,1170,Варавва
330409,1170,Пираты Карибского Моря: Сундук Мертвеца
1235709,1165,Обитаемый остров
1474447,1156,Неудержимые 2
570916,1155,Angry Birds в кино
1636170,1153,Репродукция
2202289,1153,Темная история
465801,1150,Механик: Воскрешение
1731376,1147,Штурм Белого дома
1517924,1146,Апгрейд
330367,1140,Доктор Стрэндж
1647596,1137,Приключения Тинтина: Тайна Единорога
1463908,1134,Время ведьм
785181,1132,Трансформеры: Последний рыцарь
1736528,1126,"Шпион, который меня кинул"
2162739,1126,Ультрафиолет
337407,1122,Новый парень моей мамы
1535321,1121,Агент Джонни Инглиш: Перезагрузка
346104,1119,Джентльмены удачи
465013,1119,Мобильник
1517051,1107,Галвестон
803614,1104,Пираты Карибского Моря: Мертвецы не рассказывают сказки
2083710,1094,Ангелы Чарли (2019)
2156847,1092,Цепь убийств
1551325,1090,Мотылёк
1709488,1089,Капитан Марвел
1497981,1081,Хот-Дог
1689797,1080,Три икса
1784020,1079,Люди в черном 2
1524294,1079,Чёрная дыра
1879548,1071,Курск
2070891,1061,Короли улиц
578310,1057,Автобан
336994,1057,Время ведьм
1881789,1055,Джейсон Борн
1775788,1040,Легенда о Коловрате
2070947,1039,Игра Ганнибала
581362,1035,Завтра не умрет никогда
345082,1033,Падение Олимпа
1801683,1030,Голодные игры: Сойка-пересмешница. Часть I
1428881,1020,Как украсть небоскреб
1784174,1016,Тарас Бульба
581376,1015,Доктор Ноу
337057,1005,РЭД
1279437,1002,Отпетый мачо
330192,988,Тор 2: Царство тьмы
580519,987,Охотники за привидениями (2016)
580820,980,2012
345537,979,Черное золото
581271,979,И целого мира мало
1463916,961,Рэмбо IV
784269,956,Грязь
462540,956,Стервозные штучки
1261399,954,Охота на воров
2162838,952,Ангелы Чарли
335146,948,Из Парижа с любовью
344935,943,Малавита
581334,938,Осьминожка
581264,936,Бриллианты навсегда
581257,935,Из России с любовью
576825,929,Соучастники
1659614,924,Невидимый гость
572626,922,Не говори мне «Прощай!»
1276582,915,Взрослые игры
1829686,915,Рыцарь дня
1864167,914,Звездные врата
581320,904,Человек с золотым пистолетом
1474399,902,Бандитки
330402,896,Пираты Карибского Моря: На Краю Света
1244660,884,Без компромиссов
2549180,882,Форсаж: Хоббс и Шоу
2528787,882,Мститель
1801628,881,Голодные игры: И вспыхнет пламя
1517037,877,Мэнди
1329393,875,Призрачный гонщик 2
300601,872,Форсаж 6
581355,866,Живешь только дважды
499318,850,Падение Лондона
581299,847,Живи и дай умереть
568530,846,Дракула
2403574,846,Легендарное ограбление
356310,846,Ниндзя: Шаг в неизвестность
1829697,843,Закатать в асфальт
337246,842,Залечь на дно в Брюгге
1497597,838,Жмурки
330416,838,Пираты Карибского Моря: На Странных Берегах
581383,830,Только для твоих глаз
330437,826,Первый мститель: Другая война
581306,825,Лунный гонщик
2057107,823,Черепашки-ниндзя
1802035,819,Люди в черном: Интернэшнл
1133803,818,Мегамозг
2556859,817,Шутки в сторону 2: Миссия в Майами
2162690,816,Британский психопат
1474335,801,РЭД
1474359,799,Железное небо
1711667,792,Ворон
2165090,791,Ангелы Чарли 2: только вперед
576581,789,Призрак в доспехах
1423281,783,Идентификация Борна
2031426,779,Смертельное оружие 3
571248,776,Робот по имени Чаппи
2031349,775,Смертельное оружие 2
2560008,775,Клуб анонимных киллеров
1423677,775,Миссия невыполнима: Последствия
171780,771,Черепашки-ниндзя
344984,769,Миф
1244683,766,Валериан и город тысячи планет
345628,766,Побег
567214,760,Падение Лондона
330136,752,Голодные игры: Сойка-пересмешница. Часть 2
1524094,748,Вавилон Н.Э.
2204855,746,Без вины виноватый
1797879,741,Пятнадцать минут войны
581390,740,Искры из глаз
580708,731,Новый Человек-паук: Высокое напряжение
1423425,730,Эволюция Борна
1801749,710,Голодные игры
330178,710,Железный Человек 3
2184342,709,Эпоха героев
1524406,708,Вспомнить всё
580722,706,Великий уравнитель
1736583,705,Отель «Артемида»
1829609,699,Ван Хельсинг
1412859,699,Стрелок
2097038,695,Зверь
1223292,690,Универсальный солдат 4
1836743,687,Черная Молния
348589,684,Последние рыцари
1826326,682,Железный рыцарь
1428873,681,Невероятный Халк
330129,674,Звёздные войны: Пробуждение силы
330339,673,Железный человек и Халк: Союз героев
172024,672,Война миров Z
581369,672,Вид на убийство
541467,670,Кодекс бесчестия
354567,670,Ультраамериканцы
1131177,669,Кунг-фу панда
1836710,665,Противостояние
2403500,665,Пресноводный
1801661,665,Робин Гуд
1706410,664,Лукас
1824167,662,Широко шагая
1809893,662,Однажды в Стокгольме
330458,661,Железный Человек 2
344197,658,Майор
1300119,658,Человек-Муравей и Оса
1497813,657,Околофутбола
345096,657,Патруль
2031228,657,Смертельное оружие 4
1132535,651,Скайлайн 2 UHD
333193,650,Форсаж
350290,644,Битва за Севастополь
347434,641,В зоне особого внимания
1116813,640,Выстрел в пустоту
1094538,638,Сделано в Америке
571388,632,Каратэ-пацан
330262,631,Город героев
1266988,625,Клин клином
580284,623,Защитники
1535222,623,Агент Джонни Инглиш
1711604,613,Никогда не говори «никогда»
487893,612,Форсаж 4
571528,608,Человек-паук
335153,606,Пипец
2556913,605,Профессионал
1244632,603,План побега
2103815,603,"Гангстер, коп и дьявол"
1800064,600,Балканский рубеж
1704652,596,Тень
1412875,596,Судная ночь. Начало
795315,595,Скотт Пилигрим против всех
1419617,594,Волкодав из рода Серых Псов
1123991,592,Человек человеку волк
344225,591,Помпеи
330157,590,Человек-муравей
346699,584,Ответный ход
2173386,582,Возвращение героя
336196,580,Деревенский детектив
1235597,578,Код апокалипсиса
2043800,576,Несчастье
2236045,574,"Гангстер, коп и дьявол UHD"
1131185,570,Кунг-фу панда 3
336651,570,"Огарева, 6"
581313,568,Лицензия на убийство
1788527,566,Снегоуборщик
1432466,565,Кандагар
345859,565,Беги без оглядки
284402,565,Крестный отец 3
347756,560,Джейн берет ружье
1423401,560,Ультиматум Борна
541684,556,Серые волки
462869,556,Ларго Винч: Начало
1535330,554,Остров головорезов
354623,554,Особо опасна
1524374,554,Война Богов: Бессмертные
1517093,553,Ограбление: Код 211
1517044,552,Лондонские поля
1474439,552,Неудержимые 3
2094567,549,Охранник
1497885,548,Геракл: Начало легенды
2224079,543,21 мост UHD HDR
341985,543,Медальон
1125046,543,Максимальный удар
1535276,542,Кин
1473136,539,Бои без правил
346636,539,Раз на раз не приходится
1784130,537,Ускорение
1235660,536,Обитаемый остров: Схватка
1125934,535,Звёздные войны: Последние джедаи
1463876,534,Дикая штучка
344410,530,База «Клейтон»
462381,530,Колония
330815,528,Человек-паук: Злодеи атакуют
2531472,527,Ниндзя из Беверли Хиллз
2031173,524,Шпион по соседству
2057030,521,Спасти рядового Райана
331058,519,Судная ночь 3
300591,516,Мир Юрского периода
1826888,513,Робот 2.0
1517212,511,Обет молчания
1881701,509,"Город грехов 2: Женщина, ради которой стоит убивать"
2103837,500,"Гангстер, коп и дьявол UHD HDR"
491751,499,Робин Гуд
352124,497,Атака титанов. Фильм первый: Жестокий мир
768651,495,Спасатели Малибу (расширенная версия)
792880,490,Армагеддон
1689824,490,Гонщик
2236265,487,Курск UHD HDR
1824365,485,Бриллиантовый полицейский
1497965,484,Большая игра
2551657,484,Поезд в Пусан (Расширенная версия)
2032919,481,Кокаиновый барон
1329729,479,Вызов
1267044,479,Безбашенные
529089,477,Монстр-траки
1281184,474,Хан Соло: Звёздные войны. Истории
580897,472,Человек-паук 2
171106,470,Трансформеры 3: Тёмная сторона Луны
1464425,463,DOOM
2563806,461,Ганц: О — Миссия Осака
1517058,459,Багровая мята
580736,459,Люди в чёрном 3
330514,456,Звёздные войны: Возвращение Джедая
317134,451,Варкрафт
1873340,448,"Красивый, плохой, злой UHD HDR"
1131178,447,Кунг-фу Панда 2
330521,445,Звёздные войны: Империя наносит ответный удар
811712,443,Тёмная башня
580750,443,Вспомнить всё
341705,439,Коломбиана
335783,438,В июне 41-го
1244555,437,Азартные игры
337421,437,Опасный Бангкок
1332060,434,Небоскреб
345789,433,Железный рыцарь
341642,432,Семь психопатов
581348,428,На секретной службе ее Величества
345040,428,Няньки
464702,426,Книга Илая
2236762,426,Дикая Лига
811858,425,Малыш на драйве
333196,424,Тройной форсаж: Токийский дрифт
580463,418,Обитель зла: Последняя глава
1497941,418,Добро пожаловать в рай
2380517,418,Отчаянный
330486,417,Перл Харбор
2162327,417,Капитан семи морей
462687,414,Уцелевший
1276242,414,Скалолаз
1497869,414,Последний рубеж
497130,413,Союзники
1261071,412,Иностранец
344767,410,Загнанный
1501867,409,Агент Джонни Инглиш 3.0
1497637,408,Война
580729,407,Новый Человек-паук
581327,405,"Шпион, который меня любил"
1873329,402,"Красивый, плохой, злой"
330451,400,Железный Человек
1836600,400,Коломбиана
2100381,399,Стриптизёрши UHD HDR
800405,399,Мумия
2057162,399,Стрелок
1833608,396,Потрошители
1258967,395,Эверли
1069822,394,Казино
2549171,393,Смертельная гонка 4: Вне анархии
330738,392,Джон Картер
1483012,390,Параграф 78: Фильм первый
1501990,388,Рэкетир
1817050,386,Братство
337085,385,Криминальная фишка от Генри
1889154,384,Меченосец
1539187,384,Мачете убивает
1797963,383,Случайный шпион
2380605,381,Однажды в Мексике: Отчаянный 2
571353,381,Обитель зла: Возмездие
326410,381,Полтора шпиона
1876328,380,Капкан
333189,380,Двойной Форсаж
795588,380,Из Парижа с любовью
1308916,380,Эскобар
317282,380,Обливион
330381,380,Изгой-Один. Звёздные Войны: Истории
2548163,377,Кибер
541180,376,Алмазы шаха
2082200,369,Невиновен
171026,368,Трансформеры 2: Месть падших
346202,367,Берегись автомобиля
2549387,365,Дрожь земли 5: Кровное родство
461027,364,"Джентльмены, удачи!"
1807651,364,Снегоуборщик UHD
1423520,362,План побега 2
1516953,360,Ограбление века
346342,359,"Частный детектив, или Операция «Кооперация»"
1497701,356,Сестры
2214122,355,Побег из Энсенады
1501998,354,Рэкетир 2
1921744,353,План побега 3
1811660,352,Зелёный Шершень
346524,352,Случай в квадрате 36-80
1482948,350,Детсадовский полицейский
2165178,350,День
1535366,349,Игра Эндера
171514,349,Трансформеры 4: Эпоха истребления
2118326,348,Дельфин Берни 2
2152549,347,Закатать в асфальт UHD
327455,346,Люси
330724,344,Принц Персии: Пески Времени
1805363,343,Снегоуборщик UHD HDR
1133818,343,"Ван Гог. С любовью, Винсент"
571290,343,Два ствола
2043943,342,Налёт грейхаундов
341614,342,Коллекционер 2
1689878,342,Экспат
343938,339,Железный рыцарь 2
2236232,339,Зеркальные войны: Отражение первое
571143,338,Инферно
1659605,337,Охранник
1079544,336,13-й Район: Ультиматум
2067330,336,Легенды: Гробница дракона
2084843,334,Олдбой
348386,333,Анискин и Фантомас
1525740,332,Хантер Киллер
2538511,329,Большое дело
